Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/19/2026,Milwaukee Brewers @ Miami Marlins,Miami Marlins,Miami Marlins Over 1.5,F5 Team Total,-115.0,DraftKings,66.1,53.5,12.7,2.25,1.5,50.0,,1.0,0.0,WIN,0-3,False,unknown,,,,,
04/19/2026,Milwaukee Brewers @ Miami Marlins,Milwaukee Brewers,Milwaukee Brewers Over 1.5,F5 Team Total,-135.0,DraftKings,66.1,57.4,8.7,2.25,1.5,50.0,,1.0,0.0,LOSS,0-3,False,unknown,,,,,
04/19/2026,Milwaukee Brewers @ Miami Marlins,Milwaukee Brewers/Miami Marlins,Over 3.8,F5 Total,100.0,Caesars,62.0,50.0,12.0,4.5,3.8,50.0,50.0,1.0,0.0,LOSS,0-3,False,unknown,,,,,
04/19/2026,New York Mets @ Chicago Cubs,Chicago Cubs,Home -0.5,F5 Spread,112.0,FanDuel,66.7,47.2,19.5,-0.62,-0.5,58.0,60.4,0.98,-0.027,LOSS,1-0,False,unknown,,,,,
04/19/2026,New York Mets @ Chicago Cubs,Chicago Cubs,Home,F5 ML,-120.0,FanDuel,63.0,54.5,8.5,,,58.0,60.4,0.98,-0.027,LOSS,1-0,False,unknown,,,,,
04/19/2026,San Francisco Giants @ Washington Nationals,Washington Nationals,Washington Nationals Over 1.5,F5 Team Total,-130.0,DraftKings,62.2,56.5,5.7,2.06,1.5,50.0,30.4,1.12,0.031,WIN,0-3,False,unknown,,,,,
04/19/2026,San Francisco Giants @ Washington Nationals,San Francisco Giants,Away -0.5,F5 Spread,-105.0,BetMGM,61.0,51.2,9.7,0.22,-0.5,56.2,25.0,1.12,0.031,LOSS,0-3,False,unknown,,,,,
04/19/2026,St. Louis Cardinals @ Houston Astros,Houston Astros,Home,F5 ML,-145.0,Caesars,68.7,59.2,9.5,,,50.0,63.6,1.0,-0.061,LOSS,4-1,False,unknown,,,,,
04/19/2026,St. Louis Cardinals @ Houston Astros,Houston Astros,Home -0.5,F5 Spread,100.0,Caesars,68.5,50.0,18.5,-0.75,-0.5,50.0,63.6,1.0,-0.061,LOSS,4-1,False,unknown,,,,,
04/19/2026,Tampa Bay Rays @ Pittsburgh Pirates,Tampa Bay Rays/Pittsburgh Pirates,Under 4.2,F5 Total,-118.0,BetMGM,60.5,54.1,6.3,3.59,4.2,50.0,31.35,1.02,0.084,LOSS,2-4,False,unknown,,,,,
